symbol,Date,High,Low,Open,Close,signal,pc_sma15c_sma30c,pc_open_close,pc_high_low,pc_low_close
BAND,2020-02-05,0.2701300084590912,0.2544400095939636,0.2693879902362823,0.2634089887142181,1.0,-0.020958616576829146,-0.022194759004735068,-0.058083139132258516,0.035249877307296104
BAND,2020-02-06,0.3216480016708374,0.262035995721817,0.2634089887142181,0.2850919961929321,1.0,-0.023168607466400603,0.08231688517751634,-0.18533305240312078,0.08798791329261418
BAND,2020-02-07,0.3324579894542694,0.2814559936523437,0.284171998500824,0.3170050084590912,1.0,-0.03257974426409967,0.11553921614895499,-0.15340884388323955,0.12630398928600495
BAND,2020-02-08,0.3309449851512909,0.2932310104370117,0.3177169859409332,0.3000470101833343,1.0,-0.04107358903506586,-0.05561545822068184,-0.11395844145225013,0.023244471095210804
BAND,2020-02-09,0.3928999900817871,0.2995550036430359,0.300025999546051,0.3574549853801727,1.0,-0.051733579030304046,0.19141336391183947,-0.2375795082593926,0.1932866453004844
BAND,2020-02-10,0.371957004070282,0.3257139921188354,0.3573989868164062,0.3534660041332245,1.0,-0.06214246407549425,-0.0110044595207598,-0.12432354128411273,0.08520362245986622
BAND,2020-02-11,0.3635570108890533,0.3310030102729797,0.3535389900207519,0.3619340062141418,1.0,-0.07517703372769662,0.023745658697777932,-0.08954304178171416,0.0934462678017737
BAND,2020-02-12,0.4324919879436493,0.3548440039157867,0.3619250059127807,0.378506988286972,1.0,-0.08906412305782363,0.045816072676081766,-0.17953623695331808,0.0666855973612594
BAND,2020-02-13,0.3862009942531585,0.3484359979629516,0.378506988286972,0.3671300113201141,1.0,-0.10627673447424671,-0.030057508365558226,-0.09778585982989879,0.05365121131700682
BAND,2020-02-14,0.3733769953250885,0.3511779904365539,0.3682120144367218,0.3560470044612884,1.0,-0.12123070443010174,-0.03303805823403949,-0.059454666908995216,0.013864804051876265
BAND,2020-02-15,0.3605430126190185,0.3193199932575226,0.3560470044612884,0.3243060111999511,1.0,-0.12668999298511158,-0.08914832273160819,-0.11433592641845423,0.015614487184356948
BAND,2020-02-16,0.3338049948215484,0.2784650027751922,0.3232659995555877,0.3111349940299988,1.0,-0.13279624711360563,-0.037526388615771906,-0.1657853923843796,0.11732171342616224
BAND,2020-02-17,0.3117499947547912,0.2761209905147552,0.3117499947547912,0.2984020113945007,1.0,-0.13650358039715949,-0.04281630660744505,-0.11428710453727582,0.08069296303120006
BAND,2020-02-18,0.3456270098686218,0.2930639982223511,0.2991890013217926,0.3405570089817047,1.0,-0.14274199657800513,0.13826714042679253,-0.152080161982279,0.16205678980507232
BAND,2020-02-19,0.4241119921207428,0.3337770104408264,0.3408910036087036,0.351945012807846,1.0,-0.14618452553738634,0.03242681409049708,-0.21299794242601472,0.054431556993768775
BAND,2020-02-20,0.4044550061225891,0.3515329957008362,0.3527039885520935,0.3646439909934997,1.0,-0.1528389743792997,0.03385275706810638,-0.13084770770697898,0.03729662777892213
BAND,2020-02-21,0.4277609884738922,0.3648230135440826,0.3648230135440826,0.4026339948177337,1.0,-0.1592920056943711,0.10364198493492878,-0.14713350825738275,0.10364198493492878
BAND,2020-02-22,0.4049760103225708,0.3672580122947693,0.404915988445282,0.3729850053787231,1.0,-0.1541972297864873,-0.07885829154131774,-0.09313637614672148,0.015593922779708322
BAND,2020-02-23,0.3892329931259155,0.3672389984130859,0.3729850053787231,0.3868300020694732,1.0,-0.15387478854251227,0.03711944579834284,-0.056505987676421524,0.05334674079017758
BAND,2020-02-24,0.3995090126991272,0.3435119986534118,0.3860689997673034,0.3477270007133484,1.0,-0.13992760771362528,-0.09931385083253257,-0.14016458268962032,0.01227031974562649
BAND,2020-02-25,0.3516339957714081,0.3128530085086822,0.3473060131072998,0.319242000579834,1.0,-0.12418948758169232,-0.08080485643303698,-0.11028793498094198,0.020421705712874688
BAND,2020-02-26,0.3181770145893097,0.2523329854011535,0.3173590004444122,0.2839210033416748,1.0,-0.1034526978555128,-0.10536331742888222,-0.20694150164538144,0.12518386326030007
BAND,2020-02-27,0.3165670037269592,0.2633340060710907,0.2846490144729614,0.3021869957447052,1.0,-0.08088281651768231,0.06161265411094438,-0.16815712638763272,0.14754262183337458
BAND,2020-02-28,0.36387500166893,0.3005459904670715,0.3022649884223938,0.3379670083522796,1.0,-0.06315419603291207,0.1181149696371542,-0.17404056588497974,0.12451012181880385
BAND,2020-02-29,0.3417829871177673,0.30901700258255,0.3355660140514374,0.3266119956970215,1.0,-0.046528056473726896,-0.026683329000783056,-0.09586780433845057,0.05693859226976098
BAND,2020-03-01,0.4048340022563934,0.3228470087051391,0.3267169892787933,0.3760449886322021,1.0,-0.044211349923826575,0.15098082123705045,-0.20252002819498713,0.1647776763998129
BAND,2020-03-02,0.4043920040130615,0.3554669916629791,0.3758729994297027,0.3613379895687103,1.0,-0.04249807805910925,-0.03867000258876209,-0.12098412398011253,0.016516295587010614
BAND,2020-03-03,0.453449010848999,0.3600859940052032,0.3601360023021698,0.4203999936580658,1.0,-0.04919971824791218,0.16733675880961182,-0.20589529276729687,0.16749887709320646
BAND,2020-03-04,0.4867880046367645,0.409621000289917,0.4200429916381836,0.4730980098247528,1.0,-0.05272513471344363,0.12630854279856601,-0.1585228140624144,0.1549652227056444
BAND,2020-03-05,0.4900679886341095,0.4483279883861542,0.4731200039386749,0.4509109854698181,1.0,-0.05337892853010676,-0.04694161794886929,-0.08517185618324256,0.005761400471476145
BAND,2020-03-06,0.5582910180091858,0.4446519911289215,0.4510129988193512,0.5208809971809387,1.0,-0.05721676079869814,0.15491349150575692,-0.2035480120842541,0.17143520679729854
BAND,2020-03-07,0.5559669733047485,0.488766998052597,0.5205960273742676,0.4910529851913452,1.0,-0.05348310852174439,-0.05674849716377732,-0.12087044461059462,0.004677048875755367
BAND,2020-03-08,0.4925239980220794,0.3891989886760711,0.4910529851913452,0.3904919922351837,1.0,-0.04963871010227193,-0.20478644054465242,-0.20978675102319852,0.0033222171607150976
BAND,2020-03-09,0.4159500002861023,0.3414050042629242,0.3897680044174194,0.3684050142765045,1.0,-0.03985328229213939,-0.05480950180311956,-0.17921624226927257,0.07908498609114402
BAND,2020-03-10,0.6748520135879517,0.3641810119152069,0.3689010143280029,0.6514120101928711,0.0,-0.06633609484235976,0.7658178885181317,-0.46035426347921216,0.7887039380969726
BAND,2020-03-11,0.756184995174408,0.5388280153274536,0.647849977016449,0.6128079891204834,0.0,-0.09299230146328313,-0.0540896644889066,-0.28743889555335955,0.13729793494139514
BAND,2020-03-12,0.6195369958877563,0.3254120051860809,0.6175150275230408,0.3373250067234039,0.0,-0.10449192085841315,-0.453737979338782,-0.47474968025148107,0.0366089798392987
BAND,2020-03-13,0.4440149962902069,0.2124090045690536,0.3420769870281219,0.3649759888648987,0.0,-0.1165919677222382,0.06694107673163725,-0.5216174986346099,0.7182698520968115
BAND,2020-03-14,0.4308899939060211,0.3172990083694458,0.3698959946632385,0.3281320035457611,0.0,-0.11865469387381788,-0.1129073894284805,-0.26361945541336934,0.03414128279815471
BAND,2020-03-15,0.3511340022087097,0.3036639988422394,0.3281320035457611,0.3036639988422394,0.0,-0.11975714691440591,-0.0745675656111655,-0.13519056277054808,0.0
BAND,2020-03-16,0.3044489920139313,0.2085320055484771,0.3026979863643646,0.244719997048378,0.0,-0.10459142578533279,-0.19153741328889176,-0.3150510889556998,0.17353686981871155
BAND,2020-03-17,0.3027710020542145,0.2410420030355453,0.244839996099472,0.2617500126361847,0.0,-0.09189723398348695,0.06906558081238741,-0.20388015562869502,0.08591037802480296
BAND,2020-03-18,0.2767469882965088,0.2456980049610138,0.2619900107383728,0.2696770131587982,0.0,-0.0681315544531693,0.02934082257091005,-0.11219266929195588,0.09759545341684521
BAND,2020-03-19,0.3601180016994476,0.2660520076751709,0.2696770131587982,0.3421109914779663,0.0,-0.04493637584863598,0.26859530024724665,-0.26120880816945,0.2858801347428943
BAND,2020-03-20,0.3697789907455444,0.2924639880657196,0.342056006193161,0.3226810097694397,0.0,-0.02501149777916183,-0.05664276046297559,-0.20908435745346998,0.10331877747946877
BAND,2020-03-21,0.3259119987487793,0.2899869978427887,0.3226810097694397,0.3122319877147674,0.0,0.007208296122134848,-0.0323818933817589,-0.11022914481182525,0.07671030093576275
BAND,2020-03-22,0.3634099960327148,0.3003419935703277,0.3119490146636963,0.3027519881725311,0.0,0.03201441934210387,-0.029482466873890528,-0.17354504045262859,0.008024167961178056
BAND,2020-03-23,0.3477680087089538,0.2946920096874237,0.3027519881725311,0.344307005405426,0.0,0.0378061077380847,0.13725761962366947,-0.15261898073537083,0.16836220218738998
BAND,2020-03-24,0.35902801156044,0.3338260054588318,0.344310998916626,0.3477370142936706,0.0,0.03814083043115765,0.009950351245892738,-0.07019509701227206,0.0416714354405033
BAND,2020-03-25,0.3479520082473755,0.3148239850997925,0.3452180027961731,0.3161180019378662,0.0,0.09589340319144998,-0.08429456350075805,-0.09520859877903258,0.004110286697703654
BAND,2020-03-26,0.3245579898357391,0.2951419949531555,0.3161180019378662,0.2989929914474487,0.0,0.15096244789610833,-0.05417284174086201,-0.0906340185846948,0.013047944921915912
BAND,2020-03-27,0.327549010515213,0.290814995765686,0.2985160052776336,0.2911329865455627,0.0,0.15985948761754892,-0.02473240496838478,-0.11214814751461727,0.0010934469835005309
BAND,2020-03-28,0.3088679909706116,0.2618579864501953,0.2914020121097564,0.2920329868793487,0.0,0.17227660507498074,0.0021653068385630394,-0.15220095929231206,0.11523421850985856
BAND,2020-03-29,0.3035140037536621,0.2655679881572723,0.2921069860458374,0.2655679881572723,1.0,0.17820976630658672,-0.09085369113493445,-0.12502228934117832,0.0
BAND,2020-03-29,0.3025240004062652,0.2624909877777099,0.2662729918956756,0.2919909954071045,1.0,0.17774374048705016,0.0965850998568607,-0.13233003852518876,0.11238483987258498
BAND,2020-03-30,0.2956829965114593,0.2796370089054107,0.2918730080127716,0.2905490100383758,1.0,0.1628432022653419,-0.0045362124555823015,-0.05426753582506634,0.03902202063910701
BAND,2020-03-31,0.2926999926567077,0.2724120020866394,0.2905490100383758,0.2889469861984253,1.0,0.15219227126147059,-0.0055137817875852,-0.06931325957996524,0.06069844201110864
BAND,2020-04-01,0.3140240013599396,0.2822740077972412,0.2893219888210296,0.3062889873981476,1.0,0.13628174053629577,0.05864399953234635,-0.1011069008266855,0.08507683646932326
BAND,2020-04-02,0.3486909866333008,0.3018510043621063,0.3079060018062591,0.3289830088615417,1.0,0.12696185804919535,0.06845273210538029,-0.13433092355912687,0.08988542064576764
BAND,2020-04-03,0.3305850028991699,0.3070249855518341,0.3289949893951416,0.3139950037002563,1.0,0.11714031684392967,-0.045593356064366916,-0.0712676532229798,0.022701794565333375
BAND,2020-04-04,0.3190889954566955,0.2993820011615753,0.3139840066432953,0.3064869940280914,1.0,0.09968824552329886,-0.023877052514082255,-0.06176018156600665,0.02373219779061307
BAND,2020-04-05,0.3392330110073089,0.3024860024452209,0.3065789937973022,0.3299640119075775,1.0,0.079794993102546,0.07627730073945173,-0.10832379918738594,0.09084059837556546
BAND,2020-04-06,0.347119003534317,0.3184599876403808,0.3299910128116607,0.3258000016212463,1.0,0.07753471121901234,-0.012700379791271496,-0.08256250911685656,0.023048465319775585
BAND,2020-04-07,0.3472090065479278,0.3202919960021972,0.3257949948310852,0.3448669910430908,1.0,0.07592745006467745,0.05853986867383848,-0.07752394102142923,0.07672684721326918
BAND,2020-04-08,0.4002479910850525,0.3353579938411712,0.3422619998455047,0.3813320100307464,1.0,0.036622046957158066,0.11415234587210295,-0.16212447954571294,0.1370893702666558
BAND,2020-04-09,0.382082998752594,0.3311420083045959,0.3813369870185852,0.3576349914073944,1.0,-0.001954577160171792,-0.0621549873682608,-0.1333244101786988,0.0800048995246455
BAND,2020-04-10,0.4395860135555267,0.3567950129508972,0.3576349914073944,0.4340290129184723,1.0,-0.021818921782320044,0.21360891228916357,-0.18833856867962348,0.21646602997280165
BAND,2020-04-11,0.5149530172348022,0.4313650131225586,0.4357419908046722,0.495945006608963,1.0,-0.05024064934965509,0.13816207084636403,-0.16232161248630994,0.1497107821028964
BAND,2020-04-12,0.490770012140274,0.4324359893798828,0.490770012140274,0.4724940061569214,1.0,-0.077041161214021,-0.03723945133413913,-0.11886223957733974,0.09263340184632213
BAND,2020-04-13,0.5745790004730225,0.4724310040473938,0.4724940061569214,0.5312409996986389,1.0,-0.1003513709457196,0.1243338386862137,-0.17777885432905705,0.12448377677885289
BAND,2020-04-14,0.56427401304245,0.4868899881839752,0.5321300029754639,0.4872939884662628,1.0,-0.11269404746144115,-0.0842576330191786,-0.13713909035299343,0.0008297568076814572
BAND,2020-04-15,0.5389900207519531,0.4680199921131134,0.4853470027446747,0.5221390128135681,1.0,-0.12949341377568704,0.0758055779902457,-0.13167224977528966,0.11563399344567947
BAND,2020-04-17,0.5185840129852295,0.4913620054721832,0.5115429759025574,0.5143539905548096,1.0,-0.1424830952211321,0.0054951681181673795,-0.052492955493060316,0.046792354367187546
BAND,2020-04-18,0.520209014415741,0.4931130111217499,0.5143629908561707,0.5044230222702026,1.0,-0.15763018821899177,-0.01932481294858069,-0.052086762326529944,0.022935941444182074
BAND,2020-04-19,0.5913090109825134,0.4980059862136841,0.5011900067329407,0.5422090291976929,1.0,-0.17578659580941072,0.08184325687604782,-0.15779063575202062,0.08876006354879874
BAND,2020-04-20,0.6593459844589233,0.541163980960846,0.5435370206832886,0.6337720155715942,1.0,-0.19990754332945818,0.1660144414355988,-0.17924125767606008,0.17112749160858995
BAND,2020-04-21,0.6769890189170837,0.6044819951057434,0.6340230107307434,0.6519259810447693,1.0,-0.21895062492642328,0.028237098671532134,-0.10710221552385453,0.07848701255481794
BAND,2020-04-22,0.6587499976158142,0.6062449812889099,0.6496989727020264,0.6180229783058167,1.0,-0.2397014187657354,-0.04875487837770891,-0.07970400989287812,0.019427784774178374
BAND,2020-04-23,0.7525169849395752,0.6177769899368286,0.6183000206947327,0.7178879976272583,1.0,-0.2627550161234661,0.16106740028995448,-0.1790524303096837,0.16205039896462742
BAND,2020-04-24,0.950884997844696,0.7008510231971741,0.7175920009613037,0.9426940083503724,1.0,-0.28809416446270175,0.31369079795694016,-0.26294870064650966,0.34507046026693095
BAND,2020-04-25,0.9616919755935668,0.8308179974555969,0.9616919755935668,0.8542190194129944,1.0,-0.3084769261302605,-0.1117540323805228,-0.13608721031200557,0.02816624342402757
BAND,2020-04-26,0.90658700466156,0.7800899744033813,0.8542190194129944,0.8730779886245728,1.0,-0.31667910374979813,0.0220774400744881,-0.13953104292003557,0.11920165272257131
BAND,2020-04-27,0.9503179788589478,0.8362280130386353,0.8716809749603271,0.8870580196380615,1.0,-0.3165960133183404,0.01764067946812104,-0.1200545168652928,0.06078486466235834
BAND,2020-04-28,0.905780017375946,0.8579400181770325,0.8888400197029114,0.8737050294876099,1.0,-0.31670955834937287,-0.01702780014378772,-0.05281635527520969,0.018375423661988858
BAND,2020-04-29,1.1778390407562256,0.8479380011558533,0.8720859885215759,1.040779948234558,1.0,-0.31875878427904575,0.19343730083195643,-0.2800900871723194,0.22742458389155268
BAND,2020-04-30,1.304602026939392,1.0305180549621582,1.040779948234558,1.2691550254821775,1.0,-0.3346867869585366,0.21942686120635277,-0.21009010128570574,0.23156990735963606
BAND,2020-05-01,1.2709619998931885,1.103142023086548,1.2693339586257937,1.1433240175247192,1.0,-0.3403543068689978,-0.099272488729046,-0.1320416950473295,0.03642504192319999
BAND,2020-05-02,1.2035239934921265,1.075412034988403,1.1410930156707764,1.0929169654846191,1.0,-0.3458229758585874,-0.042219213968142266,-0.10644736556684317,0.01627741733093475
BAND,2020-05-03,1.105293035507202,0.9687650203704834,1.0944299697875977,1.0773199796676636,1.0,-0.35291941137577065,-0.01563370027527181,-0.12352200796603041,0.11205499477640683
BAND,2020-05-04,1.1106829643249512,1.0084340572357178,1.0720529556274414,1.0116230249404907,1.0,-0.3526720264659214,-0.05636841946075584,-0.0920594898575563,0.0031622967132966828
BAND,2020-05-05,1.1919100284576416,1.0039139986038208,1.0138280391693115,1.0852149724960327,1.0,-0.3455120240945623,0.07041325606383177,-0.1577266952750552,0.08098400261902922
BAND,2020-05-06,1.1069979667663574,0.9702500104904176,1.0852149724960327,1.0080020427703855,1.0,-0.33628588111025415,-0.07114989350732485,-0.1235304493606191,0.03890959224095857
BAND,2020-05-07,1.1331980228424072,1.0078539848327637,1.0080020427703855,1.0682380199432373,1.0,-0.3321997835699046,0.059757792759327806,-0.1106108866085403,0.05991347558197465
BAND,2020-05-08,1.081689953804016,1.0208159685134888,1.069612979888916,1.0266720056533811,1.0,-0.31962414457818994,-0.0401462725704717,-0.05627674092418951,0.005736623760323726
BAND,2020-05-09,1.0269010066986084,0.8440690040588379,1.0240240097045898,0.893576979637146,1.0,-0.28686181731672,-0.12738669096740726,-0.1780424806745087,0.0586539433864308
BAND,2020-05-10,0.904251992702484,0.7630950212478638,0.8924530148506165,0.8045030236244202,1.0,-0.258848920779071,-0.0985485955705106,-0.15610357797802893,0.05426323226279641
BAND,2020-05-11,1.0676690340042114,0.7904719710350037,0.8033480048179626,1.0417770147323608,1.0,-0.24152442923925369,0.2967941769749286,-0.25962826881810114,0.31791771613142866
BAND,2020-05-12,1.0915919542312622,1.001086950302124,1.0334739685058594,1.0604480504989624,1.0,-0.2275021202524712,0.026100398089465855,-0.08291102144745563,0.05929664768771927
BAND,2020-05-13,1.1108039617538452,1.0080280303955078,1.0604480504989624,1.027601957321167,1.0,-0.21302431433567257,-0.03097378807225932,-0.09252391501743006,0.01941803832377478
BAND,2020-05-14,1.0705859661102295,1.005275011062622,1.0284290313720703,1.010210037231445,1.0,-0.18859358216744995,-0.01771536351547612,-0.06100486753520818,0.004909130451384114
BAND,2020-05-15,1.060006022453308,0.9806900024414062,1.0081770420074463,1.0469419956207275,1.0,-0.14725739383730116,0.038450541916818355,-0.07482600884505411,0.06755650920717904
BAND,2020-05-16,1.065256953239441,1.0093530416488647,1.046023964881897,1.009937047958374,1.0,-0.11702117978228985,-0.034499130168205466,-0.05247927405737429,0.0005785946892826052
BAND,2020-05-17,1.0412460565567017,1.0104880332946775,1.0108040571212769,1.0293920040130615,1.0,-0.09179879874418158,0.018389268187864502,-0.029539630011889702,0.018707763076370103
